id;groupId;espanol;ingles;frances
75;3;¿Qué esperas conseguir de aquí a diez años?;What do you hope to achieve ten years from now?;
76;3;¿Qué esperas conseguir de aquí a quince años?;What do you hope to achieve fifteen years from now?;
77;3;¿Qué esperas haber logrado durante tu vida antes de jubilarte?;What do you hope to have accomplished during your lifetime before you retire?;
78;3;Si tuvieras que hacer una valoración, ¿cómo de contento crees que tu yo anciano estaría con tu yo del presente?;If you had to make an assessment, how happy do you think your older self would be with your present self?;
79;3;¿Sobre qué tema tienes una opinión muy radical?;On what subject do you have a very radical opinion?;
80;3;Si tuvieras la capacidad, ¿qué catástrofe histórica eliminarías?;If you had the capacity, what historical catastrophe would you eliminate?;
81;4;¿Si tuvieses que eliminar a algún partido político, cuál elegirías?;If you had to eliminate any political party, which one would you choose?;
82;4;¿Con qué ideología te identificas más? Explica por qué.;Which ideology do you most identify with? Explain why.;
83;4;¿Qué ideología política no podrías tolerar?;What political ideology could you not tolerate?;
84;4;¿Qué ideas políticas tienen que tener tus amigos para que los puedas considerar amigos de verdad?;What political ideas do your friends have to have before you can consider them true friends?;
85;4;¿Cómo de importante es para ti la política?;How important is politics to you?;
86;4;¿Cómo de importante crees que es el activismo político?;How important do you think political activism is?;
87;4;¿Crees que hay alguna religión superior a todas las demás? Explica por qué.;Do you think there is any religion superior to all others? Explain why.;
88;4;¿Qué religión eliminarías del mundo?;Which religion would you eliminate from the world?;
89;4;¿Qué pasaría si todo el mundo estuviera gobernado por mujeres?;What would happen if the whole world were ruled by women?;
90;4;¿Cuál sería la mejor forma de conquistar Francia?;What would be the best way to conquer France?;
91;4;Desde tu punto de vista, ¿cómo crees que debería funcionar el mundo?;From your point of view, how do you think the world should work?;
92;4;Si te hicieses presidente del país, ¿que sería lo primero que harías o cambiarías?;If you became president of the country, what would be the first thing you would do or change?;
93;4;¿Como de importante es para ti la religión?;How important is religion to you?;
94;4;Si tuvieses que eliminar todas las religiones del mundo y quedarte con una, ¿cuál elegirías?;If you had to eliminate all the world's religions and keep one, which one would you choose?;
95;4;¿Si tuvieras que elegir entre vivir en la alemania nazi o en la unión soviética, cuál elegirías?;If you had to choose between living in Nazi Germany or the Soviet Union, which would you choose?;
96;4;¿Qué país crees que lo está haciendo peor políticamente hablando?;Which country do you think is doing worse politically speaking?;
97;4;Si pudieras volver al pasado, a quién preferirías matar, ¿a Hitler, a Stalin o a Mao?;If you could go back in time, who would you rather kill, Hitler, Stalin or Mao?;
98;5;¿Cuál es el lema o frase que más te representa?;What is the slogan or phrase that represents you the most?;
99;5;¿Cuál es el mejor regalo que te podría hacer una persona?;What is the best gift a person could give you?;
100;5;¿Cuál es tu objetivo más importante ahora mismo?;What is your most important goal right now?;
101;5;¿De qué tema te gustaría ser un experto?;What subject would you like to be an expert on?;
102;5;¿Cuál es tu mayor adicción?;What is your biggest addiction?;
103;5;¿Qué canción te gustaría que pusieran en tu entierro? Ponla para que el grupo la pueda escuchar.;What song would you like to have played at your funeral? Play it so the group can hear it.;
104;5;Si pudieras vivir de ello, ¿qué clases de videos harías en YouTube?;If you could make a living at it, what kinds of videos would you make on YouTube?;
105;5;¿Qué es lo que más te gusta hacer cuando viajas en transporte público?;What is your favorite thing to do when traveling by public transportation?;
106;5;¿Qué situación justifica que no quieras seguir siendo amigo/a de una persona?;What situation justifies that you no longer want to be friends with a person?;
107;5;¿Con qué película resultaría inhumano no llorar?;What movie would be inhuman not to cry with?;
108;5;¿Cuál sería tu epitafio? (La frase que pondrías en tu tumba para recordarte);What would be your epitaph (the phrase you would put on your grave to remember you)?;
109;5;¿Sobre qué temas te gusta más aprender?;What topics do you most enjoy learning about?;
110;5;Si tuvieses que cambiar de profesión, ¿qué elegirías hacer?;If you had to change careers, what would you choose to do?;
111;5;¿Cuál es el chiste más bestial que nos podrías contar?;What is the most bestial joke you could tell us?;
112;5;Si tuvieras que volverte un criminal, ¿en qué tipo de criminal te convertirías?;If you had to become a criminal, what kind of criminal would you become?;
113;5;¿Cuáles son los mejores planes que hacer cuando te vas de vacaciones?;What are the best things to do when you go on vacation?;
114;5;¿Qué es lo que más te gusta de acudir a una boda?;What is your favorite thing about attending a wedding?;
115;5;Define tus cualidades más importantes en 30 segundos.;Define your most important qualities in 30 seconds.;
116;5;¿Si pudieras tener un superpoder, cuál elegirías?;If you could have a superpower, which one would you choose?;
117;5;¿Donde podríamos pasar una noche extraordinaria?;Where could we spend an amazing night?;
118;5;Si tu apellido fuera tu mayor cualidad, ¿cómo te llamarías?;If your last name was your greatest quality, what would you call yourself?;
119;5;¿Qué cualidad crees que te falta para ser alguien excepcional?;What quality do you think you lack to be someone exceptional?;
120;5;¿Con qué recuerdo te aflora enseguida una sonrisa?;What memory brings a smile to your face?;
121;5;Cuenta el mejor chiste que sepas.;Tell the best joke you know.;
122;5;¿Qué acento te irrita más?;Which accent irritates you the most?;
123;5;¿Qué te pone de un humor excepcional?;What puts you in an exceptional mood?;
124;5;¿Cuál es tu sección favorita del supermercado?;What is your favorite section of the supermarket?;
125;5;¿Qué secreto nunca revelarías a tus padres?;What secret would you never reveal to your parents?;
126;5;¿Cuál era tu mayor miedo de pequeño?;What was your biggest fear as a child?;
127;5;¿Qué es lo que más echarías de menos si los teléfonos desaparecieran?;What would you miss most if phones disappeared?;
128;5;¿Qué dato curioso conoces que asombraría a todos los aquí presentes?;What fun fact do you know that would amaze everyone here?;
129;5;¿Qué es lo que más te gusta comer cuando estás de bajón?;What is your favorite thing to eat when you're feeling blue?;
130;5;¿Cuál es tu guilty pleasure? (Aquello que te gusta pero socialmente puede no estar bien visto o te de verguenza admitir que te gusta).;What is your guilty pleasure?;
131;5;Si tuvieras que intercambiar tu vida con la de un famoso, ¿cuál elegirías?;If you had to exchange your life with that of a celebrity, which one would you choose?;
132;5;¿Cuál es la mejor sorpresa que te podrían dar por tu cumpleaños?;What is the best surprise you could get for your birthday?;
133;6;¿Cuál crees que es la posición sexual favorita del jugador de tu izquierda?;What do you think is the favorite sexual position of the player on your left?;
134;6;Describe en voz alta a alguien del grupo y el resto tiene que intentar descubrir a quién estás describiendo;Describe out loud someone in the group and the rest of the group has to try to figure out who you are describing.;
135;6;Contad hasta tres y señalad a quien creais que es la persona más borracha del grupo.;Count to three and point to whoever you think is the drunkest person in the group.;
136;6;Contad hasta tres y señalad a quien creais que es más probable que folle hoy.;Count to three and point out who you think is most likely to get laid today.;
137;6;Contad hasta tres y señalad a la persona en la que confiaríais para contarle un secreto que no puede revelar a nadie.;Count to three and point to the person you would trust to tell you a secret that you cannot reveal to anyone.;
138;6;Cada persona del grupo tiene que decir un adjetivo que te defina.;Each person in the group has to say an adjective that defines you.;
139;6;¿Cuál es el mejor plan que podrías hacer con el jugador de tu derecha?;What is the best plan you could make with the player on your right?;
140;6;¿Cuál crees que es la posición sexual favorita del jugador de tu derecha?;What do you think is the favorite sexual position of the player on your right?;
141;6;¿Cuál es el mejor plan que podrías hacer con el jugador de tu izquierda?;What is the best plan you could make with the player to your left?;
142;6;¿Cuál crees que es la posición sexual favorita del jugador de tu izquierda?;What do you think is the favorite sexual position of the player on your left?;
